t (s),T_g (K),H2,H,O,O2,OH,H2O,HO2,CH2,CH2(S),CH3,CH4,CO,CO2,HCO,CH2O,CH3O,C2H4,C2H5,C2H6,N2,Ar,e,N2(A),N2(B),N2(C),N2(a'),N2+,CH4+,H2O+,CO2+,O2+
0.00000e+00,3.00000e+02,0.00000e+00,0.00000e+00,0.00000e+00,5.23750e+18,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,1.04750e+18,0.00000e+00,7.50000e+15,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,1.95225e+19,2.32500e+17,1.00000e+13,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00
1.00000e-11,3.28006e+02,1.30299e-02,5.52426e+09,2.86752e+11,5.23750e+18,2.21842e+01,8.04451e-07,1.57894e+05,3.29951e-15,9.99684e-12,5.52442e+09,1.04750e+18,3.59537e+00,7.50000e+15,9.87082e-14,6.83291e-01,6.63285e-08,2.69651e-18,8.32219e-11,5.24064e-11,1.95225e+19,2.32500e+17,1.00238e+13,1.40220e+10,2.10811e+11,4.88150e+11,4.33100e+10,1.53765e+10,7.36765e+09,3.11214e-16,2.49582e+06,1.04730e+09
2.00000e-11,3.55827e+02,2.11524e-01,1.43820e+10,5.93856e+11,5.23750e+18,2.27895e+02,2.16459e-05,6.99424e+05,2.80592e-13,4.53220e-10,1.43827e+10,1.04750e+18,1.44016e+01,7.50000e+15,5.91152e-12,7.00980e+00,1.46323e-06,2.63509e-16,3.21214e-09,2.37717e-09,1.95225e+19,2.32500e+17,1.00476e+13,2.92989e+10,4.18122e+11,9.66265e+11,8.74621e+10,2.99033e+10,1.47528e+10,1.60420e-14,4.99026e+06,2.98341e+09
3.00000e-11,3.83468e+02,1.67183e+00,2.65129e+10,9.20932e+11,5.23750e+18,1.21571e+03,2.28531e-04,1.69103e+06,5.33098e-12,5.95162e-09,2.65146e+10,1.04750e+18,3.24491e+01,7.50000e+15,7.76142e-11,2.91744e+01,9.54097e-06,6.70380e-15,4.23183e-08,2.40463e-08,1.95225e+19,2.32500e+17,1.00716e+13,4.58102e+10,6.22000e+11,1.43458e+12,1.32433e+11,4.35640e+10,2.21555e+10,2.49440e-13,7.48335e+06,5.82473e+09
4.00000e-11,4.10933e+02,9.09734e+00,4.18581e+10,1.26761e+12,5.23750e+18,4.72639e+03,1.55500e-03,3.16724e+06,5.26509e-11,4.48062e-08,4.18613e+10,1.04750e+18,5.77683e+01,7.50000e+15,5.30933e-10,8.30323e+01,3.70770e-05,8.87594e-14,3.28378e-07,1.27814e-07,1.95225e+19,2.32500e+17,1.00955e+13,6.35359e+10,8.22510e+11,1.89332e+12,1.78201e+11,5.63532e+10,2.95759e+10,2.26258e-12,9.97509e+06,9.57690e+09
5.00000e-11,4.38226e+02,3.85453e+01,6.03601e+10,1.63352e+12,5.23750e+18,1.49895e+04,7.99779e-03,5.14302e+06,3.53256e-10,2.40940e-07,6.03652e+10,1.04750e+18,9.03898e+01,7.50000e+15,2.50061e-09,1.91109e+02,1.07758e-04,7.74472e-13,1.81711e-06,4.70131e-07,1.95225e+19,2.32500e+17,1.01195e+13,8.24565e+10,1.01972e+12,2.34271e+12,2.24744e+11,6.82743e+10,3.70138e+10,1.47126e-11,1.24655e+07,1.42365e+10
6.00000e-11,4.65354e+02,1.35636e+02,8.19625e+10,2.01832e+12,5.23750e+18,4.09968e+04,3.35697e-02,7.62120e+06,1.82060e-09,1.02590e-06,8.19701e+10,1.04750e+18,1.30344e+02,7.50000e+15,9.21753e-09,3.83997e+02,2.60830e-04,5.00985e-12,7.89644e-06,1.35846e-06,1.95225e+19,2.32500e+17,1.01436e+13,1.02553e+11,1.21369e+12,2.78296e+12,2.72041e+11,7.93386e+10,4.44695e+10,7.54614e-11,1.49546e+07,1.97923e+10
7.00000e-11,4.92319e+02,4.12733e+02,1.06610e+11,2.42165e+12,5.23750e+18,9.99849e+04,1.20335e-01,1.05971e+07,7.71950e-09,3.66791e-06,1.06621e+11,1.04750e+18,1.77663e+02,7.50000e+15,2.85382e-08,7.02227e+02,5.64092e-04,2.57825e-11,2.85542e-05,3.30755e-06,1.95225e+19,2.32500e+17,1.01678e+13,1.23806e+11,1.40448e+12,3.21429e+12,3.20070e+11,8.95637e+10,5.19429e+10,3.22516e-10,1.74424e+07,2.62268e+10
8.00000e-11,5.19128e+02,1.11674e+03,1.34250e+11,2.84318e+12,5.23750e+18,2.22378e+05,3.79752e-01,1.40614e+07,2.81187e-08,1.14338e-05,1.34264e+11,1.04750e+18,2.32377e+02,7.50000e+15,7.75168e-08,1.19869e+03,1.16942e-03,1.10642e-10,8.92889e-05,7.08582e-06,1.95225e+19,2.32500e+17,1.01919e+13,1.46197e+11,1.59216e+12,3.63691e+12,3.68811e+11,9.89727e+10,5.94340e+10,1.19059e-09,1.99290e+07,3.35172e+10
9.00000e-11,5.45785e+02,2.74196e+03,1.64829e+11,3.28257e+12,5.23750e+18,4.58392e+05,1.07836e+00,1.80019e+07,9.06267e-08,3.18956e-05,1.64847e+11,1.04750e+18,2.94517e+02,7.50000e+15,1.90142e-07,1.94159e+03,2.54054e-03,4.09375e-10,2.48108e-04,1.37463e-05,1.95225e+19,2.32500e+17,1.02162e+13,1.69708e+11,1.77678e+12,4.05102e+12,4.18245e+11,1.07593e+11,6.69430e+10,3.89414e-09,2.24143e+07,4.16363e+10
1.00000e-10,5.72293e+02,6.20457e+03,1.98295e+11,3.73951e+12,5.23750e+18,8.86441e+05,2.80123e+00,2.24050e+07,2.64011e-07,8.11482e-05,1.98318e+11,1.04750e+18,3.64115e+02,7.50000e+15,4.29793e-07,3.01796e+03,6.26327e-03,1.33884e-09,6.25105e-04,2.46400e-05,1.95225e+19,2.32500e+17,1.02405e+13,1.94322e+11,1.95840e+12,4.45681e+12,4.68352e+11,1.15454e+11,7.44698e+10,1.15018e-08,2.48984e+07,5.05537e+10
1.10000e-10,5.98659e+02,1.30964e+04,2.34599e+11,4.21367e+12,5.23750e+18,1.62341e+06,6.74280e+00,2.72562e+07,7.06374e-07,1.91023e-04,2.34628e+11,1.04750e+18,4.41202e+02,7.50000e+15,9.08513e-07,4.53760e+03,1.75492e-02,3.94487e-09,1.45021e-03,4.14127e-05,1.95225e+19,2.32500e+17,1.02649e+13,2.20021e+11,2.13709e+12,4.85448e+12,5.19113e+11,1.22590e+11,8.20145e+10,3.11339e-08,2.73812e+07,6.02362e+10
1.20000e-10,6.24885e+02,2.60358e+04,2.73691e+11,4.70474e+12,5.23750e+18,2.83684e+06,1.51949e+01,3.25405e+07,1.75737e-06,4.20744e-04,2.73727e+11,1.04750e+18,5.25810e+02,7.50000e+15,1.81583e-06,6.63736e+03,5.20706e-02,1.06307e-08,3.13559e-03,6.59872e-05,1.95225e+19,2.32500e+17,1.02893e+13,2.46787e+11,2.31289e+12,5.24422e+12,5.70510e+11,1.29037e+11,8.95771e+10,7.81468e-08,2.98629e+07,7.06488e+10
